Date,Open,High,Low,Close,Adj Close,Volume
2020-03-09,2863.889893,2863.889893,2734.429932,2746.560059,2746.560059,8423050000
2020-03-10,2813.479980,2882.590088,2734.000000,2882.229980,2882.229980,7635960000
2020-03-11,2825.600098,2825.600098,2707.219971,2741.379883,2741.379883,7374110000
2020-03-12,2630.860107,2660.949951,2478.860107,2480.639893,2480.639893,8829380000
2020-03-13,2569.989990,2711.330078,2492.370117,2711.020020,2711.020020,8258670000
2020-03-16,2508.590088,2562.979980,2380.939941,2386.129883,2386.129883,7781540000
2020-03-17,2425.659912,2553.929932,2367.040039,2529.189941,2529.189941,8358500000
2020-03-18,2436.500000,2453.570068,2280.520020,2398.100098,2398.100098,8755780000
2020-03-19,2393.479980,2466.969971,2319.780029,2409.389893,2409.389893,7946710000
2020-03-20,2431.939941,2453.010010,2295.560059,2304.919922,2304.919922,9044690000
2020-03-23,2290.709961,2300.729980,2191.860107,2237.399902,2237.399902,7402180000
2020-03-24,2344.439941,2449.709961,2344.439941,2447.330078,2447.330078,7547350000
2020-03-25,2457.770020,2571.419922,2407.530029,2475.560059,2475.560059,8285670000
2020-03-26,2501.290039,2637.010010,2500.719971,2630.070068,2630.070068,7753160000
2020-03-27,2555.870117,2615.909912,2520.020020,2541.469971,2541.469971,6194330000
2020-03-30,2558.979980,2631.800049,2545.280029,2626.649902,2626.649902,5746220000
2020-03-31,2614.689941,2641.389893,2571.149902,2584.590088,2584.590088,6568290000
2020-04-01,2498.080078,2522.750000,2447.489990,2470.500000,2470.500000,5947900000
2020-04-02,2458.540039,2533.219971,2455.790039,2526.899902,2526.899902,6454990000
2020-04-03,2514.919922,2538.179932,2459.959961,2488.649902,2488.649902,6087190000
2020-04-06,2578.280029,2676.850098,2574.570068,2663.679932,2663.679932,6391860000
2020-04-07,2738.649902,2756.889893,2657.669922,2659.409912,2659.409912,7040720000
2020-04-08,2685.000000,2760.750000,2663.300049,2749.979980,2749.979980,5856370000
2020-04-09,2776.989990,2818.570068,2762.360107,2789.820068,2789.820068,7880140000
2020-04-13,2782.459961,2782.459961,2721.169922,2761.629883,2761.629883,5274310000
2020-04-14,2805.100098,2851.850098,2805.100098,2846.060059,2846.060059,5567400000
2020-04-15,2795.639893,2801.879883,2761.540039,2783.360107,2783.360107,5203390000
2020-04-16,2799.340088,2806.510010,2764.320068,2799.550049,2799.550049,5179990000
2020-04-17,2842.429932,2879.219971,2830.879883,2874.560059,2874.560059,5792140000
